Timestamp,SpotPrice
Tue Oct 02 2018 14:06:25 GMT+0530 (IST),8.107300
Tue Oct 02 2018 07:58:33 GMT+0530 (IST),8.142300
Tue Oct 02 2018 03:05:33 GMT+0530 (IST),8.037400
Mon Oct 01 2018 19:53:53 GMT+0530 (IST),8.021200
Mon Oct 01 2018 15:09:44 GMT+0530 (IST),8.067600
Mon Oct 01 2018 09:09:51 GMT+0530 (IST),7.993800
Mon Oct 01 2018 04:00:34 GMT+0530 (IST),8.018100
Sun Sep 30 2018 20:46:06 GMT+0530 (IST),8.066200
Sun Sep 30 2018 14:38:37 GMT+0530 (IST),8.086000
Sun Sep 30 2018 08:21:54 GMT+0530 (IST),7.964300
Sun Sep 30 2018 01:41:21 GMT+0530 (IST),8.047200
Sat Sep 29 2018 20:48:25 GMT+0530 (IST),8.029200
Sat Sep 29 2018 14:56:48 GMT+0530 (IST),8.003800
Sat Sep 29 2018 07:50:46 GMT+0530 (IST),8.074900
Sat Sep 29 2018 00:37:03 GMT+0530 (IST),8.080400
Fri Sep 28 2018 19:51:50 GMT+0530 (IST),8.074700
Fri Sep 28 2018 12:53:46 GMT+0530 (IST),8.034700
Fri Sep 28 2018 06:04:06 GMT+0530 (IST),8.039200
Fri Sep 28 2018 00:31:09 GMT+0530 (IST),8.117400
Thu Sep 27 2018 17:29:07 GMT+0530 (IST),7.991400
Thu Sep 27 2018 11:37:36 GMT+0530 (IST),8.042100
Thu Sep 27 2018 06:36:58 GMT+0530 (IST),8.062900
Thu Sep 27 2018 01:19:30 GMT+0530 (IST),7.989800
Wed Sep 26 2018 20:44:00 GMT+0530 (IST),8.040000
Wed Sep 26 2018 15:00:36 GMT+0530 (IST),8.095100
Wed Sep 26 2018 09:01:10 GMT+0530 (IST),8.158500
Wed Sep 26 2018 01:44:58 GMT+0530 (IST),7.985500
Tue Sep 25 2018 18:56:20 GMT+0530 (IST),8.029400
Tue Sep 25 2018 12:47:45 GMT+0530 (IST),7.999200
Tue Sep 25 2018 07:13:21 GMT+0530 (IST),7.996200
Tue Sep 25 2018 01:30:47 GMT+0530 (IST),8.035100
Mon Sep 24 2018 19:39:37 GMT+0530 (IST),8.055700
Mon Sep 24 2018 14:22:11 GMT+0530 (IST),7.962600
Mon Sep 24 2018 08:14:22 GMT+0530 (IST),8.017500
Mon Sep 24 2018 03:13:16 GMT+0530 (IST),7.968300
Sun Sep 23 2018 19:50:08 GMT+0530 (IST),8.004200
Sun Sep 23 2018 13:51:11 GMT+0530 (IST),8.021900
Sun Sep 23 2018 08:24:57 GMT+0530 (IST),8.056500
Sun Sep 23 2018 02:33:32 GMT+0530 (IST),7.963100
Sat Sep 22 2018 21:16:02 GMT+0530 (IST),8.007000
Sat Sep 22 2018 16:40:04 GMT+0530 (IST),8.026200
Sat Sep 22 2018 11:30:25 GMT+0530 (IST),7.963800
Sat Sep 22 2018 05:06:03 GMT+0530 (IST),8.003700
Sat Sep 22 2018 00:13:11 GMT+0530 (IST),8.024100
Fri Sep 21 2018 17:57:35 GMT+0530 (IST),8.083900
Fri Sep 21 2018 12:22:44 GMT+0530 (IST),8.132700
Fri Sep 21 2018 06:57:25 GMT+0530 (IST),7.982800
Thu Sep 20 2018 23:59:15 GMT+0530 (IST),8.033300
Thu Sep 20 2018 18:40:54 GMT+0530 (IST),7.988100
Thu Sep 20 2018 12:58:25 GMT+0530 (IST),8.064700
Thu Sep 20 2018 06:25:30 GMT+0530 (IST),7.992300
Wed Sep 19 2018 22:52:38 GMT+0530 (IST),7.926100
Wed Sep 19 2018 16:28:27 GMT+0530 (IST),8.007900
Wed Sep 19 2018 08:56:53 GMT+0530 (IST),8.059300
Wed Sep 19 2018 03:42:47 GMT+0530 (IST),8.066500
Tue Sep 18 2018 22:44:25 GMT+0530 (IST),8.078100
Tue Sep 18 2018 17:34:49 GMT+0530 (IST),7.946600
Tue Sep 18 2018 10:37:21 GMT+0530 (IST),8.023600
Tue Sep 18 2018 03:40:37 GMT+0530 (IST),8.061100
Tue Sep 18 2018 03:10:51 GMT+0530 (IST),8.061100
Mon Sep 17 2018 19:47:46 GMT+0530 (IST),8.055600
